Nation,Similarity Score
Afghanistan,133
Albania,96
Algeria,199
Andorra,70
Angola,199
Antigua and Barbuda,46
Armenia,46
Australia,8
Austria,58
Azerbaijan,194
Bahamas,46
Belarus,41
Belgium,40
Belize,163
Benin,37
Bosnia and Herzegovina,75
Brazil,121
Bulgaria,22
Burkina Faso,57
Burundi,27
Cambodia,42
Cameroon,43
Canada,52
Cape Verde,131
Central African Republic,61
Chad,158
Chile,158
Comoros,46
Congo,134
Costa Rica,76
Cote d'Ivoire,59
Croatia,31
Cuba,18
Cyprus,69
Czechia,34
Democratic Republic of Congo,99
Denmark,35
Djibouti,95
Dominica,51
Ecuador,172
Egypt,112
Equatorial Guinea,46
Eritrea,228
Estonia,38
Eswatini,145
Ethiopia,133
Finland,8
France,51
Gambia,126
Georgia,89
Germany,32
Ghana,33
Greece,46
Grenada,46
Guatemala,155
Guinea,75
Guinea-Bissau,46
Guyana,201
Haiti,126
Honduras,240
Hungary,54
India,146
International,46
Iran,77
Iraq,151
Ireland,72
Israel,55
Italy,64
Jamaica,108
Japan,8
Jordan,135
Kazakhstan,66
Kenya,153
Kosovo,136
Kyrgyzstan,156
Laos,88
Latvia,35
Lebanon,90
Lesotho,113
Liberia,117
Libya,172
Liechtenstein,46
Lithuania,65
Luxembourg,50
Madagascar,98
Malawi,33
Maldives,45
Mali,42
Malta,41
Marshall Islands,46
Mauritania,57
Mauritius,67
Mexico,165
Moldova,81
Monaco,27
Montenegro,46
Morocco,131
Mozambique,76
Myanmar,87
Namibia,47
Netherlands,81
Nicaragua,48
Niger,44
North Macedonia,46
Norway,21
Pakistan,102
Palestine,206
Papua New Guinea,26
Peru,264
Philippines,154
Portugal,68
Qatar,145
Romania,45
Russia,39
Saint Kitts and Nevis,46
Saint Lucia,46
Saint Vincent and the Grenadines,46
Samoa,46
San Marino,58
Sao Tome and Principe,46
Saudi Arabia,75
Senegal,52
Serbia,73
Seychelles,35
Sierra Leone,45
Slovakia,60
Slovenia,76
Solomon Islands,26
Somalia,43
South Africa,115
South Korea,7
South Sudan,138
Spain,66
Sri Lanka,33
Sudan,117
Suriname,161
Sweden,53
Switzerland,48
Syria,99
Tanzania,36
Thailand,20
Timor,24
Togo,43
Trinidad and Tobago,132
Tunisia,82
Turkey,27
Uganda,130
Ukraine,139
United Arab Emirates,12
United States,75
Uruguay,40
Vanuatu,71
Vatican,46
Venezuela,196
Vietnam,16
Yemen,43
Zambia,37
Zimbabwe,133
Gabon,94
Kuwait,140
Paraguay,154
Poland,41
Argentina,192
Bahrain,59
Bangladesh,176
Barbados,54
Bhutan,161
Botswana,60
Brunei,3
Colombia,180
El Salvador,125
Fiji,47
Iceland,4
Indonesia,46
Nepal,138
New Zealand,3
Nigeria,118
Oman,166
Panama,185
Rwanda,30
Singapore,32
Tajikistan,19
United Kingdom,58
Uzbekistan,102
Malaysia,15
Bolivia,162
China,134
Mongolia,12
Hong Kong,4
