Nation,Similarity Score
Afghanistan,191
Albania,59
Algeria,103
Andorra,164
Angola,249
Antigua and Barbuda,259
Argentina,68
Armenia,52
Australia,187
Austria,42
Azerbaijan,60
Bahamas,147
Bahrain,42
Bangladesh,96
Barbados,206
Belarus,62
Belgium,41
Belize,178
Benin,262
Bhutan,244
Bolivia,86
Bosnia and Herzegovina,77
Botswana,247
Brazil,62
Brunei,270
Bulgaria,50
Burkina Faso,277
Burundi,288
Cambodia,288
Cameroon,223
Canada,45
Cape Verde,83
Central African Republic,230
Chad,285
Chile,49
China,253
Colombia,59
Comoros,245
Congo,241
Costa Rica,91
Cote d'Ivoire,198
Croatia,65
Cuba,201
Cyprus,119
Czechia,50
Democratic Republic of Congo,282
Denmark,61
Djibouti,176
Dominica,270
Dominican Republic,62
Ecuador,70
Egypt,179
El Salvador,106
Equatorial Guinea,255
Eritrea,275
Estonia,85
Eswatini,105
Ethiopia,204
Fiji,285
Finland,100
France,37
Gabon,199
Gambia,232
Georgia,134
Germany,64
Ghana,171
Greece,121
Guatemala,104
Guinea,173
Guinea-Bissau,239
Guyana,129
Haiti,217
Honduras,86
Hungary,60
Iceland,108
India,101
Indonesia,121
International,292
Iran,38
Iraq,82
Ireland,64
Israel,50
Italy,31
Jamaica,150
Japan,146
Jordan,175
Kazakhstan,89
Kenya,162
Kosovo,81
Kuwait,45
Kyrgyzstan,90
Laos,292
Latvia,131
Lebanon,102
Lesotho,246
Liberia,258
Libya,133
Liechtenstein,201
Lithuania,113
Luxembourg,57
Madagascar,226
Malawi,260
Malaysia,179
Maldives,70
Mali,276
Malta,96
Marshall Islands,290
Mauritania,172
Mauritius,265
Mexico,72
Moldova,53
Monaco,166
Mongolia,277
Montenegro,111
Morocco,89
Mozambique,232
Myanmar,221
Namibia,147
Nepal,124
Netherlands,50
New Zealand,252
Nicaragua,264
Niger,283
Nigeria,256
North Macedonia,57
Norway,87
Oman,91
Pakistan,140
Palestine,109
Panama,51
Papua New Guinea,284
Paraguay,116
Peru,72
Philippines,92
Poland,47
Portugal,44
Qatar,45
Romania,51
Russia,58
Rwanda,248
Saint Kitts and Nevis,281
Saint Lucia,247
Saint Vincent and the Grenadines,262
Samoa,291
San Marino,192
Sao Tome and Principe,203
Saudi Arabia,63
Senegal,174
Serbia,59
Seychelles,252
Sierra Leone,258
Singapore,79
Slovakia,120
Slovenia,85
Solomon Islands,292
Somalia,255
South Africa,72
South Korea,209
South Sudan,271
Spain,85
Sri Lanka,230
Sudan,245
Suriname,138
Sweden,76
Switzerland,91
Syria,242
Taiwan,278
Tajikistan,154
Tanzania,291
Thailand,275
Timor,288
Togo,256
Trinidad and Tobago,178
Tunisia,176
Turkey,62
Uganda,254
Ukraine,69
United Arab Emirates,47
United Kingdom,34
United States,41
Uruguay,161
Uzbekistan,136
Vanuatu,292
Vatican,284
Venezuela,125
Vietnam,290
Yemen,287
Zambia,209
Zimbabwe,239
Hong Kong,67
