Nation,Similarity Score
Afghanistan,35
Albania,50
Algeria,43
Andorra,41
Angola,34
Antigua and Barbuda,38
Argentina,52
Armenia,75
Australia,41
Austria,99
Azerbaijan,51
Bahamas,41
Bahrain,45
Bangladesh,54
Barbados,37
Belarus,57
Belgium,112
Belize,50
Benin,35
Bhutan,38
Bolivia,38
Bosnia and Herzegovina,64
Botswana,38
Brazil,45
Brunei,40
Bulgaria,69
Burkina Faso,34
Burundi,34
Cambodia,34
Cameroon,34
Canada,45
Cape Verde,50
Central African Republic,35
Chad,34
Chile,44
China,8
Colombia,49
Comoros,38
Congo,35
Costa Rica,51
Cote d'Ivoire,38
Croatia,70
Cuba,34
Cyprus,62
Czechia,72
Democratic Republic of Congo,34
Denmark,102
Djibouti,36
Dominica,38
Dominican Republic,44
Ecuador,47
Egypt,38
El Salvador,41
Equatorial Guinea,37
Eritrea,35
Estonia,70
Eswatini,41
Ethiopia,43
Fiji,34
Finland,39
France,131
Gabon,39
Gambia,44
Georgia,60
Germany,73
Ghana,35
Greece,72
Grenada,34
Guatemala,43
Guinea,38
Guinea-Bissau,38
Guyana,50
Haiti,35
Honduras,42
Hungary,84
Iceland,76
India,45
Indonesia,42
International,34
Iran,56
Iraq,42
Ireland,109
Israel,46
Italy,153
Jamaica,50
Japan,39
Jordan,53
Kazakhstan,38
Kenya,43
Kosovo,49
Kuwait,48
Kyrgyzstan,45
Laos,34
Latvia,54
Lebanon,61
Lesotho,39
Liberia,34
Libya,50
Liechtenstein,46
Lithuania,51
Luxembourg,86
Madagascar,39
Malawi,37
Malaysia,32
Maldives,44
Mali,34
Malta,74
Marshall Islands,34
Mauritania,37
Mauritius,35
Mexico,40
Moldova,57
Monaco,44
Mongolia,34
Montenegro,48
Morocco,52
Mozambique,34
Myanmar,34
Namibia,41
Nepal,58
Netherlands,83
New Zealand,35
Nicaragua,36
Niger,34
Nigeria,35
North Macedonia,60
Norway,57
Oman,43
Pakistan,36
Palestine,50
Panama,53
Papua New Guinea,34
Paraguay,47
Peru,40
Philippines,44
Poland,92
Portugal,123
Qatar,46
Romania,66
Russia,47
Rwanda,38
Saint Kitts and Nevis,35
Saint Lucia,37
Saint Vincent and the Grenadines,37
Samoa,34
San Marino,42
Sao Tome and Principe,39
Saudi Arabia,41
Senegal,38
Serbia,52
Seychelles,37
Sierra Leone,34
Singapore,24
Slovakia,85
Slovenia,107
Solomon Islands,34
Somalia,34
South Africa,39
South Korea,25
South Sudan,34
Spain,54
Sri Lanka,34
Sudan,34
Suriname,40
Sweden,58
Switzerland,61
Syria,34
Taiwan,31
Tajikistan,37
Tanzania,34
Thailand,35
Timor,34
Togo,34
Trinidad and Tobago,45
Tunisia,50
Turkey,59
Uganda,34
Ukraine,66
United Arab Emirates,51
United States,151
Uruguay,38
Uzbekistan,48
Vanuatu,34
Vatican,34
Venezuela,45
Vietnam,35
Yemen,34
Zambia,44
Zimbabwe,40
Hong Kong,2
