Nation,Similarity Score
Afghanistan,50
Albania,37
Algeria,42
Andorra,60
Angola,17
Antigua and Barbuda,205
Armenia,143
Australia,2
Austria,39
Azerbaijan,32
Belarus,106
Belgium,18
Belize,37
Benin,22
Bosnia and Herzegovina,18
Brazil,32
Bulgaria,24
Burkina Faso,57
Burundi,133
Cambodia,45
Cameroon,55
Canada,36
Cape Verde,31
Central African Republic,61
Chad,44
Chile,57
Comoros,205
Congo,42
Costa Rica,45
Cote d'Ivoire,52
Croatia,16
Cuba,6
Cyprus,56
Czechia,17
Democratic Republic of Congo,42
Denmark,46
Djibouti,57
Dominica,64
Dominican Republic,50
Ecuador,8
Egypt,51
Equatorial Guinea,200
Eritrea,48
Estonia,60
Eswatini,17
Ethiopia,31
Finland,6
France,14
Gambia,17
Georgia,12
Germany,7
Ghana,29
Greece,40
Grenada,208
Guatemala,5
Guinea,6
Guinea-Bissau,199
Guyana,12
Haiti,30
Honduras,42
Hungary,44
India,4
International,208
Iran,40
Iraq,36
Ireland,25
Israel,37
Italy,9
Jamaica,17
Japan,13
Jordan,43
Kazakhstan,8
Kenya,18
Kosovo,50
Kyrgyzstan,14
Laos,57
Latvia,31
Lebanon,36
Lesotho,43
Liberia,6
Libya,34
Liechtenstein,182
Lithuania,40
Luxembourg,60
Madagascar,54
Malawi,20
Maldives,171
Mali,56
Malta,196
Marshall Islands,208
Mauritania,30
Mauritius,78
Mexico,48
Moldova,19
Monaco,78
Montenegro,201
Morocco,53
Mozambique,20
Myanmar,29
Namibia,51
Netherlands,59
Nicaragua,131
Niger,72
North Macedonia,168
Norway,17
Pakistan,17
Palestine,42
Papua New Guinea,6
Peru,62
Philippines,1
Portugal,11
Qatar,17
Romania,19
Russia,23
Saint Kitts and Nevis,205
Saint Lucia,205
Saint Vincent and the Grenadines,207
Samoa,208
San Marino,39
Sao Tome and Principe,194
Saudi Arabia,8
Senegal,52
Serbia,24
Seychelles,15
Sierra Leone,55
Slovakia,31
Slovenia,48
Solomon Islands,19
Somalia,56
South Africa,26
South Korea,9
South Sudan,33
Spain,24
Sri Lanka,5
Sudan,7
Suriname,59
Sweden,45
Switzerland,34
Syria,30
Tanzania,58
Thailand,36
Timor,15
Togo,52
Trinidad and Tobago,7
Tunisia,61
Turkey,8
Uganda,5
Ukraine,52
United Arab Emirates,36
United States,28
Uruguay,56
Vanuatu,67
Vatican,199
Venezuela,36
Vietnam,6
Yemen,55
Zambia,30
Zimbabwe,4
Iceland,14
Nigeria,1
Tajikistan,16
Taiwan,22
New Zealand,15
Argentina,38
Bahrain,46
Colombia,35
Kuwait,30
Oman,11
Panama,24
Bolivia,3
Barbados,2
Singapore,1
Paraguay,9
Botswana,4
United Kingdom,9
Poland,7
El Salvador,4
Nepal,6
Brunei,1
Mongolia,1
Uzbekistan,1
