Nation,Similarity Score
Afghanistan,83
Albania,22
Algeria,42
Andorra,50
Angola,18
Antigua and Barbuda,296
Armenia,128
Australia,2
Austria,32
Azerbaijan,21
Bahamas,200
Belarus,113
Belgium,6
Belize,26
Benin,22
Bosnia and Herzegovina,8
Brazil,10
Bulgaria,19
Burkina Faso,60
Burundi,199
Cambodia,45
Cameroon,54
Canada,24
Cape Verde,13
Central African Republic,63
Chad,44
Chile,52
Comoros,299
Congo,43
Costa Rica,11
Cote d'Ivoire,53
Croatia,4
Cuba,7
Cyprus,42
Czechia,1
Democratic Republic of Congo,42
Denmark,35
Djibouti,57
Dominica,62
Dominican Republic,42
Ecuador,3
Egypt,51
Eritrea,48
Estonia,62
Eswatini,16
Ethiopia,31
Finland,4
France,1
Gambia,16
Georgia,5
Germany,1
Ghana,28
Greece,33
Grenada,300
Guatemala,4
Guinea,7
Guinea-Bissau,295
Guyana,7
Haiti,42
Honduras,39
Hungary,36
India,2
International,302
Iran,28
Iraq,27
Ireland,13
Israel,5
Italy,5
Jamaica,20
Japan,13
Jordan,42
Kazakhstan,6
Kenya,18
Kosovo,45
Kyrgyzstan,4
Laos,58
Latvia,22
Lebanon,24
Lesotho,43
Liberia,6
Libya,18
Liechtenstein,228
Lithuania,35
Luxembourg,41
Madagascar,54
Malawi,21
Maldives,150
Mali,56
Malta,175
Marshall Islands,302
Mauritania,54
Mauritius,118
Mexico,49
Moldova,1
Monaco,92
Montenegro,155
Morocco,41
Mozambique,21
Myanmar,29
Namibia,47
Netherlands,40
Nicaragua,188
Niger,108
North Macedonia,141
Norway,8
Pakistan,17
Palestine,30
Papua New Guinea,7
Peru,45
Philippines,1
Portugal,3
Qatar,8
Romania,5
Russia,8
Saint Kitts and Nevis,299
Saint Lucia,292
Saint Vincent and the Grenadines,298
Samoa,302
San Marino,32
Sao Tome and Principe,286
Saudi Arabia,9
Senegal,52
Serbia,18
Seychelles,17
Sierra Leone,57
Slovakia,22
Slovenia,41
Solomon Islands,19
Somalia,66
South Africa,22
South Korea,9
South Sudan,33
Spain,8
Sri Lanka,4
Sudan,7
Suriname,50
Sweden,42
Switzerland,29
Syria,30
Tanzania,104
Thailand,36
Timor,17
Togo,52
Trinidad and Tobago,7
Tunisia,54
Turkey,7
Uganda,5
Ukraine,40
United Arab Emirates,16
United States,13
Uruguay,60
Vanuatu,81
Vatican,290
Venezuela,36
Vietnam,6
Yemen,56
Zambia,31
Zimbabwe,4
Iceland,1
Nigeria,1
Tajikistan,16
Bahrain,5
Singapore,1
Taiwan,42
Kuwait,2
Oman,4
Panama,3
New Zealand,25
Poland,1
Barbados,2
Brunei,1
Mongolia,1
Uzbekistan,1
