Nation,Similarity Score
Afghanistan,99
Albania,77
Algeria,107
Andorra,52
Angola,102
Antigua and Barbuda,30
Armenia,28
Australia,80
Austria,27
Azerbaijan,77
Bahamas,30
Belarus,29
Belgium,22
Belize,100
Benin,107
Bosnia and Herzegovina,44
Brazil,24
Bulgaria,37
Burkina Faso,97
Burundi,16
Cambodia,83
Cameroon,144
Canada,112
Cape Verde,32
Central African Republic,115
Chad,162
Chile,33
Comoros,30
Congo,166
Costa Rica,55
Cote d'Ivoire,107
Croatia,34
Cuba,96
Cyprus,97
Czechia,5
Democratic Republic of Congo,150
Denmark,46
Djibouti,136
Dominica,90
Dominican Republic,37
Ecuador,36
Egypt,162
Equatorial Guinea,30
Eritrea,91
Estonia,36
Eswatini,114
Ethiopia,127
Finland,32
France,40
Gambia,108
Georgia,72
Germany,57
Ghana,141
Greece,83
Grenada,30
Guatemala,50
Guinea,138
Guinea-Bissau,30
Guyana,88
Haiti,164
Honduras,43
Hungary,62
India,49
International,30
Iran,38
Iraq,52
Ireland,48
Israel,19
Italy,36
Jamaica,115
Japan,45
Jordan,84
Kazakhstan,44
Kenya,128
Kosovo,69
Kyrgyzstan,63
Laos,68
Latvia,72
Lebanon,108
Lesotho,140
Liberia,178
Libya,62
Liechtenstein,29
Lithuania,54
Luxembourg,48
Madagascar,171
Malawi,132
Maldives,29
Mali,109
Malta,27
Marshall Islands,30
Mauritania,44
Mauritius,70
Mexico,58
Moldova,18
Monaco,21
Montenegro,29
Morocco,88
Mozambique,105
Myanmar,124
Namibia,81
Netherlands,40
Nicaragua,26
Niger,36
North Macedonia,28
Norway,25
Pakistan,144
Palestine,53
Papua New Guinea,112
Peru,39
Philippines,51
Portugal,27
Qatar,19
Romania,34
Russia,29
Saint Kitts and Nevis,30
Saint Lucia,30
Saint Vincent and the Grenadines,30
Samoa,30
San Marino,55
Sao Tome and Principe,30
Saudi Arabia,69
Senegal,106
Serbia,83
Seychelles,44
Sierra Leone,82
Slovakia,58
Slovenia,62
Solomon Islands,59
Somalia,75
South Africa,113
South Korea,115
South Sudan,121
Spain,46
Sri Lanka,69
Sudan,151
Suriname,93
Sweden,74
Switzerland,37
Tanzania,45
Thailand,139
Timor,31
Togo,134
Trinidad and Tobago,76
Tunisia,78
Turkey,62
Uganda,97
Ukraine,68
United Arab Emirates,38
United States,20
Uruguay,98
Vanuatu,127
Vatican,29
Venezuela,98
Vietnam,112
Yemen,72
Zambia,117
Zimbabwe,124
Gabon,79
Kuwait,13
Paraguay,46
Poland,57
Tajikistan,63
Colombia,43
Panama,16
Argentina,30
Bangladesh,68
Botswana,109
Nigeria,169
Barbados,93
Uzbekistan,153
Brunei,37
El Salvador,67
Fiji,162
Malaysia,81
Nepal,51
New Zealand,37
Oman,44
Rwanda,100
Singapore,89
Taiwan,11
Bahrain,6
Indonesia,116
Mongolia,123
Iceland,18
United Kingdom,57
China,93
Bolivia,43
Bhutan,91
Hong Kong,46
