location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,38130,11,35,1403,1,2.429,979.492,0.283,0.899,36.041,0.026,0.062,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,9195,112,153.714,271,5,4.429,3195.149,38.919,53.414,94.169,1.737,1.539,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,43403,387,390.857,1483,8,9.286,989.783,8.825,8.913,33.819,0.182,0.212,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,1124,26,11.286,53,0,0,14547.337,336.504,146.065,685.951,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.37,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,2471,56,57.571,106,1,1.714,75.183,1.704,1.752,3.225,0.03,0.052,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.39,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,94,0,0,3,0,0,959.889,0,0,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,392009,11717,8995.143,8271,221,220.143,8673.576,259.25,199.026,183.004,4.89,4.871,1.13,0,0,0,0,0,0,0,0,22700,1177542,26.054,0.502,19026,0.421,0.473,2.1,87.96,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,43451,181,139.143,869,5,3.857,14663.371,61.082,46.956,293.261,1.687,1.302,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,25547,99,135,600,17,16.429,1001.848,3.882,5.294,23.53,0.667,0.644,0.61,0,0,0,0,0,0,0,0,0,0,0,0,66159,2.594,0.002,490.1,75.46,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,26590,229,261.143,733,0,0.429,2952.345,25.426,28.995,81.387,0,0.048,1.15,27,2.998,119,13.213,0,0,0,0,14701,1147944,127.459,1.632,10362,1.151,0.025,39.7,35.19,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,35986,142,152.143,527,3,2.143,3549.204,14.005,15.005,51.977,0.296,0.211,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,2057,37,50.571,50,2,3.286,5230.796,94.088,128.599,127.146,5.086,8.355,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,51113,357,350.286,189,1,1.143,30038.499,209.805,205.859,111.073,0.588,0.672,1.03,0,0,0,0,0,0,0,0,0,1078767,633.978,0,9566,5.622,0.037,27.3,60.19,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,306794,2211,2347.714,4174,47,44.714,1862.864,13.425,14.255,25.345,0.285,0.272,0.92,0,0,0,0,0,0,0,0,13741,1517089,9.212,0.083,13375,0.081,0.176,5.7,80.09,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,166,1,1.286,7,0,0,577.65,3.48,4.474,24.359,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,71346,181,176.429,667,5,5,7550.384,19.155,18.671,70.587,0.529,0.529,1.13,0,0,0,0,0,0,0,0,0,0,0,0,6785,0.718,0.026,38.5,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,83952,452,436.857,9886,2,-14.143,7243.726,39,37.694,853.005,0.173,-1.22,1.01,77,6.644,252,21.744,0,0,0,0,25114,2262225,195.194,2.167,19975,1.724,0.022,45.7,52.78,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,870,52,31.714,12,0,1,2188.013,130.778,79.76,30.179,0,2.515,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.69,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
